run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR26724932,SAMN38109689,B_532,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1958838273;2021096636,8073579000,26911930,B_532,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/032/SRR26724932/SRR26724932_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/032/SRR26724932/SRR26724932_2.fastq.gz']","2 GB, 2 GB files; 26.9 million reads; 8073.6 million sequenced bases"
SRR26724908,SAMN38109711,G_21,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1753152984;1814031946,7260601800,24202006,G_21,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/008/SRR26724908/SRR26724908_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/008/SRR26724908/SRR26724908_2.fastq.gz']","2 GB, 2 GB files; 24.2 million reads; 7260.6 million sequenced bases"
SRR26724910,SAMN38109709,W_21,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1916991857;1952304313,8005071900,26683573,W_21,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/010/SRR26724910/SRR26724910_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/010/SRR26724910/SRR26724910_2.fastq.gz']","2 GB, 2 GB files; 26.7 million reads; 8005.1 million sequenced bases"
SRR26724935,SAMN38109678,B91,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1785172151;1821114870,7603511700,25345039,B91,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/035/SRR26724935/SRR26724935_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/035/SRR26724935/SRR26724935_2.fastq.gz']","2 GB, 2 GB files; 25.3 million reads; 7603.5 million sequenced bases"
SRR26724911,SAMN38109708,W_13,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1881720976;1921997384,7773739200,25912464,W_13,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/011/SRR26724911/SRR26724911_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/011/SRR26724911/SRR26724911_2.fastq.gz']","2 GB, 2 GB files; 25.9 million reads; 7773.7 million sequenced bases"
SRR26724909,SAMN38109710,W_22,replication = biological replication 5,2024-08-23,China,Bombus terrestris,2204543318;2271901452,9066477000,30221590,W_22,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/009/SRR26724909/SRR26724909_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/009/SRR26724909/SRR26724909_2.fastq.gz']","2 GB, 2 GB files; 30.2 million reads; 9066.5 million sequenced bases"
SRR26724912,SAMN38109681,B_295,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1907681899;1950965797,7930617300,26435391,B_295,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/012/SRR26724912/SRR26724912_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/012/SRR26724912/SRR26724912_2.fastq.gz']","2 GB, 2 GB files; 26.4 million reads; 7930.6 million sequenced bases"
SRR26724913,SAMN38109707,W_12,replication = biological replication 2,2024-08-23,China,Bombus terrestris,2006020556;2058112885,8685620400,28952068,W_12,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/013/SRR26724913/SRR26724913_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/013/SRR26724913/SRR26724913_2.fastq.gz']","2 GB, 2 GB files; 29.0 million reads; 8685.6 million sequenced bases"
SRR26724914,SAMN38109706,W_7,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1657968244;1736503779,7117140300,23723801,W_7,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/014/SRR26724914/SRR26724914_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/014/SRR26724914/SRR26724914_2.fastq.gz']","2 GB, 2 GB files; 23.7 million reads; 7117.1 million sequenced bases"
SRR26724915,SAMN38109705,B_247,replication = biological replication 5,2024-08-23,China,Bombus terrestris,1639721096;1663590239,6860090700,22866969,B_247,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/015/SRR26724915/SRR26724915_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/015/SRR26724915/SRR26724915_2.fastq.gz']","2 GB, 2 GB files; 22.9 million reads; 6860.1 million sequenced bases"
SRR26724918,SAMN38109702,B_308,replication = biological replication 2,2024-08-23,China,Bombus terrestris,1877473096;1929112804,7803656700,26012189,B_308,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/018/SRR26724918/SRR26724918_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/018/SRR26724918/SRR26724918_2.fastq.gz']","2 GB, 2 GB files; 26.0 million reads; 7803.7 million sequenced bases"
SRR26724919,SAMN38109701,B_37,replication = biological replication 1,2024-08-23,China,Bombus terrestris,1600915227;1666187227,6691934700,22306449,B_37,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/019/SRR26724919/SRR26724919_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/019/SRR26724919/SRR26724919_2.fastq.gz']","2 GB, 2 GB files; 22.3 million reads; 6691.9 million sequenced bases"
SRR26724898,SAMN38109687,B_530,replication = biological replication 2,2024-08-23,China,Bombus terrestris,2030192220;2082904846,8507798700,28359329,B_530,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/098/SRR26724898/SRR26724898_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/098/SRR26724898/SRR26724898_2.fastq.gz']","2 GB, 2 GB files; 28.4 million reads; 8507.8 million sequenced bases"
SRR26724901,SAMN38109684,B_11,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1873534703;1942949401,7823195700,26077319,B_11,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/001/SRR26724901/SRR26724901_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/001/SRR26724901/SRR26724901_2.fastq.gz']","2 GB, 2 GB files; 26.1 million reads; 7823.2 million sequenced bases"
SRR26724902,SAMN38109683,B_10,replication = biological replication 2,2024-08-23,China,Bombus terrestris,1595033086;1631483707,6643825200,22146084,B_10,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/002/SRR26724902/SRR26724902_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/002/SRR26724902/SRR26724902_2.fastq.gz']","2 GB, 2 GB files; 22.1 million reads; 6643.8 million sequenced bases"
SRR26724904,SAMN38109715,G_89,replication = biological replication 5,2024-08-23,China,Bombus terrestris,1981125608;2043320733,8276776200,27589254,G_89,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/004/SRR26724904/SRR26724904_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/004/SRR26724904/SRR26724904_2.fastq.gz']","2 GB, 2 GB files; 27.6 million reads; 8276.8 million sequenced bases"
SRR26724907,SAMN38109712,G_33,replication = biological replication 2,2024-08-23,China,Bombus terrestris,1654292262;1670102696,6911480100,23038267,G_33,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/007/SRR26724907/SRR26724907_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/007/SRR26724907/SRR26724907_2.fastq.gz']","2 GB, 2 GB files; 23.0 million reads; 6911.5 million sequenced bases"
SRR26724917,SAMN38109703,B_309,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1886727933;1954927257,8049101700,26830339,B_309,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/017/SRR26724917/SRR26724917_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/017/SRR26724917/SRR26724917_2.fastq.gz']","2 GB, 2 GB files; 26.8 million reads; 8049.1 million sequenced bases"
SRR26724920,SAMN38109700,B_41,replication = biological replication 5,2024-08-23,China,Bombus terrestris,1610068647;1648124699,6908354100,23027847,B_41,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/020/SRR26724920/SRR26724920_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/020/SRR26724920/SRR26724920_2.fastq.gz']","2 GB, 2 GB files; 23.0 million reads; 6908.4 million sequenced bases"
SRR26724921,SAMN38109699,B_40,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1798515088;1881469496,7612909500,25376365,B_40,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/021/SRR26724921/SRR26724921_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/021/SRR26724921/SRR26724921_2.fastq.gz']","2 GB, 2 GB files; 25.4 million reads; 7612.9 million sequenced bases"
SRR26724923,SAMN38109680,B294,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1907551977;1957391514,7924030800,26413436,B294,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/023/SRR26724923/SRR26724923_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/023/SRR26724923/SRR26724923_2.fastq.gz']","2 GB, 2 GB files; 26.4 million reads; 7924.0 million sequenced bases"
SRR26724924,SAMN38109697,B_38,replication = biological replication 2,2024-08-23,China,Bombus terrestris,2286805766;2364231101,9690633900,32302113,B_38,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/024/SRR26724924/SRR26724924_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/024/SRR26724924/SRR26724924_2.fastq.gz']","2 GB, 2 GB files; 32.3 million reads; 9690.6 million sequenced bases"
SRR26724927,SAMN38109694,B_414,replication = biological replication 4,2024-08-23,China,Bombus terrestris,1714496255;1760278892,7203616200,24012054,B_414,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/027/SRR26724927/SRR26724927_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/027/SRR26724927/SRR26724927_2.fastq.gz']","2 GB, 2 GB files; 24.0 million reads; 7203.6 million sequenced bases"
SRR26724928,SAMN38109693,B_407,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1895776819;1918202004,8119056600,27063522,B_407,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/028/SRR26724928/SRR26724928_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/028/SRR26724928/SRR26724928_2.fastq.gz']","2 GB, 2 GB files; 27.1 million reads; 8119.1 million sequenced bases"
SRR26724929,SAMN38109692,B_169,replication = biological replication 2,2024-08-23,China,Bombus terrestris,1802178475;1847750421,7546287000,25154290,B_169,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/029/SRR26724929/SRR26724929_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/029/SRR26724929/SRR26724929_2.fastq.gz']","2 GB, 2 GB files; 25.2 million reads; 7546.3 million sequenced bases"
SRR26724931,SAMN38109690,B_533,replication = biological replication 5,2024-08-23,China,Bombus terrestris,2025097589;2070862796,8487648300,28292161,B_533,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/031/SRR26724931/SRR26724931_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/031/SRR26724931/SRR26724931_2.fastq.gz']","2 GB, 2 GB files; 28.3 million reads; 8487.6 million sequenced bases"
SRR26724933,SAMN38109688,B_531,replication = biological replication 3,2024-08-23,China,Bombus terrestris,1754997964;1825825897,7254333300,24181111,B_531,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/033/SRR26724933/SRR26724933_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/033/SRR26724933/SRR26724933_2.fastq.gz']","2 GB, 2 GB files; 24.2 million reads; 7254.3 million sequenced bases"
SRR26724934,SAMN38109679,B_293,replication = biological replication 2,2024-08-23,China,Bombus terrestris,1914880368;1938816771,8027763600,26759212,B_293,RNA-Seq,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina HiSeq 2000,Studies of gene expression in Bombus terresttirs,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/034/SRR26724934/SRR26724934_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/034/SRR26724934/SRR26724934_2.fastq.gz']","2 GB, 2 GB files; 26.8 million reads; 8027.8 million sequenced bases"
